HIP,Name,Num,Constellation,RA,Dec,Mag,NameJ,Prn
17563,,u,Tau,56.418458,6.050028,5.34,,
17573,Maia,20,Tau,56.456625,24.367861,3.87,マイア,
17579,Asterope,21,Tau,56.476917,24.554611,5.76,アステローペ,
17588,,22,Tau,56.512042,24.528,6.43,,
17593,,π,Eri,56.535417,-12.101722,4.43,,
17608,Merope,23,Tau,56.5815,23.948472,4.14,メローペ,
17618,,σ,For,56.61425,-29.338167,5.91,,
17651,,τ6,Eri,56.712458,-23.248444,4.22,,
17678,,γ,Hyi,56.809292,-74.23925,3.26,,
17702,Alcyone,η,Tau,56.871083,24.10525,2.85,アルキオネ,
17717,,τ7,Eri,56.915083,-23.874806,5.24,,
17738,,ρ,For,56.983417,-30.167333,5.52,,
17771,,e,Tau,57.067708,11.143361,5.08,,
17847,Atlas,27,Tau,57.290542,24.053528,3.62,アトラス,
17851,Pleione,28,Tau,57.296667,24.136833,5.05,プレオネ,1
17874,,g,Eri,57.363667,-36.200111,4.17,,
17886,,n,Per,57.38625,33.091389,5.14,,
17959,,γ,Cam,57.5895,71.332361,4.59,,
18089,,31,Tau,58.000917,6.534917,5.66,,
18141,,30,Eri,58.173542,-5.36125,5.48,,
18213,,i,Eri,58.412167,-34.732306,5.11,,
18216,,τ8,Eri,58.427833,-24.612222,4.64,,
18246,,ζ,Per,58.533,31.883667,2.84,,
18255,,32,Eri,58.572875,-2.954722,4.46,,
18453,,43,Per,59.151833,50.695694,5.28,,
18471,,32,Tau,59.216792,22.47825,5.62,,
18485,,33,Tau,59.265833,23.175583,6.05,,
18532,,ε,Per,59.463417,40.010278,2.9,,
18543,Zaurak,γ,Eri,59.507208,-13.50825,2.97,ザウラク,
18597,,δ,Ret,59.686417,-61.400139,4.56,,
18614,Menkib,ξ,Per,59.74125,35.791028,3.98,メンキブ,
18673,,τ9,Eri,59.981167,-24.01625,4.62,,
18724,,λ,Tau,60.170083,12.490389,3.41,,
18744,,γ,Ret,60.224208,-62.159361,4.48,,
18772,,ι,Ret,60.325292,-61.079056,4.97,,
18788,,35,Eri,60.383458,-1.549639,5.28,,
18907,,ν,Tau,60.789083,5.989306,3.91,,
18957,,40,Tau,60.935833,5.435639,5.32,,
19009,,36,Tau,61.090292,24.106028,5.46,,
19038,,37,Tau,61.173583,22.082056,4.36,,
19076,,39,Tau,61.333958,22.009222,5.9,,
19167,,λ,Per,61.646083,50.351361,4.25,,
19171,,41,Tau,61.651667,27.600028,5.18,,
19205,,ψ,Tau,61.752167,29.001278,5.21,,
19302,,49,Per,62.064417,37.727972,6.07,,
19335,,50,Per,62.152042,38.040222,5.52,,
19343,,c,Per,62.165292,47.712583,3.96,,
19388,,ω1,Tau,62.29125,19.609306,5.51,,
19483,,37,Eri,62.593833,-6.923833,5.44,,
19513,,p,Tau,62.707833,26.481028,5.39,,
19515,,δ,Hor,62.710125,-41.99375,4.93,,
19554,,45,Tau,62.834167,5.523028,5.71,,
19587,Beid,ο1,Eri,62.966375,-6.837778,4.04,ベイド,
19719,,46,Tau,63.387958,7.716028,5.29,,
19740,,47,Tau,63.484958,9.263889,4.84,,
19747,,α,Hor,63.500333,-42.293861,3.85,,
19777,,39,Eri,63.598708,-10.255889,4.87,,
19780,,α,Ret,63.605958,-62.473972,3.33,,
19811,,f,Per,63.722125,40.483722,4.67,,
19812,,μ,Per,63.724417,48.409361,4.12,,
19849,Keid,ο2,Eri,63.8235,-7.644556,4.43,ケイド,
19860,,μ,Tau,63.883542,8.892417,4.27,,
19877,,48,Tau,63.942542,15.40075,6.31,,
19893,,γ,Dor,64.006208,-51.487083,4.26,,
19921,,ε,Ret,64.121167,-59.30175,4.44,,
19990,,ω,Tau,64.315375,20.57875,4.93,,
20020,,θ,Ret,64.417792,-63.2555,5.88,,
20042,,υ4,Eri,64.473417,-33.798333,3.55,,
20049,,δ,Men,64.496583,-80.214194,5.67,,
20070,,b,Per,64.56075,50.295639,4.6,,
20087,,51,Tau,64.596417,21.579389,5.64,,
20171,,53,Tau,64.858667,21.142417,5.5,,
20186,,56,Tau,64.902875,21.773583,5.34,,
20205,,γ,Tau,64.948042,15.627694,3.65,,
20219,,h,Tau,64.990125,14.03525,5.58,,
20250,,φ,Tau,65.088458,27.350944,4.97,,
20252,,54,Per,65.10275,34.56675,4.93,,
20261,,58,Tau,65.151,15.0955,5.26,,
20297,,ν,Men,65.241792,-81.580222,5.78,,
20354,,d,Per,65.388125,46.498972,4.8,,
20384,,η,Ret,65.47175,-63.386806,5.24,,
20400,,60,Tau,65.514375,14.07725,5.72,,
20430,,χ,Tau,65.645542,25.629361,5.38,,
20455,,δ1,Tau,65.733458,17.542583,3.77,,
20484,,63,Tau,65.854167,16.777333,5.64,,
20507,,ξ,Eri,65.920333,-3.745333,5.17,,
20522,,r,Tau,65.966,9.460972,5.1,,
20533,,62,Tau,65.999,24.301028,6.34,,
20535,,υ3,Eri,66.009042,-34.017,3.97,,
20542,,δ2,Tau,66.023708,17.444222,4.8,,
20579,,55,Per,66.121417,34.130833,5.73,,
20591,,56,Per,66.155917,33.959889,5.77,,
20635,,κ1,Tau,66.342083,22.293972,4.21,,
20641,,κ2,Tau,66.353917,22.200111,5.27,,
20648,,δ3,Tau,66.372167,17.928,4.3,,
20661,,70,Tau,66.405208,15.941083,6.44,,
20711,,υ,Tau,66.576625,22.813694,4.28,,
20713,,71,Tau,66.586125,15.618333,4.48,,
20732,,π,Tau,66.651583,14.713861,4.69,,
20789,,72,Tau,66.822708,22.996361,5.53,,
20873,,76,Tau,67.09725,14.741028,5.9,,
20877,,75,Tau,67.109875,16.359639,4.96,,
20885,,θ1,Tau,67.143458,15.962222,3.84,,
20889,Ain,ε,Tau,67.153875,19.180528,3.53,アイン,
20894,,θ2,Tau,67.165292,15.870944,3.4,,
20901,,b,Tau,67.20875,13.047639,5.02,,
20995,,80,Tau,67.535542,15.637889,5.58,,
21036,,83,Tau,67.655417,13.724444,5.4,,
21039,,81,Tau,67.661792,15.691944,5.47,,
21060,,δ,Cae,67.70875,-44.95375,5.07,,
21137,,85,Tau,67.965375,15.851639,6.01,,
21139,,45,Eri,67.969458,-0.044,4.91,,
21148,,1,Cam,68.007667,53.910833,5.78,,
21242,,m,Per,68.35375,43.063889,6.09,,
21248,,υ1,Eri,68.377625,-29.765833,4.49,,
21273,,ρ,Tau,68.461917,14.8445,4.65,,
21278,,46,Eri,68.478042,-6.738889,5.71,,
21281,,α,Dor,68.498833,-55.045,3.3,,
21296,,47,Eri,68.5485,-8.231361,5.2,,
21393,,υ2,Eri,68.887792,-30.562306,3.81,,
21402,,d,Tau,68.913458,10.160917,4.25,,
21421,Aldebaran,α,Tau,68.98,16.50975,0.87,アルデバラン,1
21444,,ν,Eri,69.07975,-3.352444,3.93,,
21476,,58,Per,69.172625,41.264861,4.25,,
21547,,c,Eri,69.400458,-2.473389,5.22,,
21588,,89,Tau,69.539083,16.033389,5.78,,
21589,,c,Tau,69.539167,12.510861,4.27,,
21594,,l,Eri,69.545292,-14.303583,3.86,,
21673,,σ1,Tau,69.788333,15.800028,5.08,,
21683,,σ2,Tau,69.818542,15.918028,4.67,,
21727,,3,Cam,69.977875,53.079583,5.07,,
21730,,2,Cam,69.991792,53.47325,5.36,,
21735,,93,Tau,70.01425,12.197639,5.45,,
21763,,54,Eri,70.110375,-19.67125,4.32,,
21770,,α,Cae,70.140917,-41.863583,4.44,,
21861,,β,Cae,70.514375,-37.144778,5.04,,
21881,,τ,Tau,70.56125,22.956972,4.27,,
21914,,λ,Pic,70.693583,-50.481417,5.3,,
21928,,59,Per,70.72625,43.365278,5.3,,
21949,,μ,Men,70.766458,-70.931111,5.53,,
21961,,95,Tau,70.807292,24.088972,6.18,,
21986,,55,Eri,70.894708,-8.79425,5.98,,
22024,,56,Eri,71.022167,-8.503583,5.78,,
22040,,κ,Dor,71.088,-59.732833,5.28,,
22109,,μ,Eri,71.375583,-3.254611,4.01,,
22263,,58,Eri,71.900875,-16.934861,5.49,,
22280,,ζ,Cae,71.9565,-30.020611,6.35,,
22287,,4,Cam,72.000917,56.757528,5.29,,
22325,,59,Eri,72.135542,-16.329583,5.76,,
22441,,96,Tau,72.433667,15.90425,6.09,,
22449,,π3,Ori,72.458917,6.96125,3.19,,
22453,,1,Aur,72.477792,37.488194,4.89,,
22479,,60,Eri,72.548292,-16.217278,5.03,,
22509,,π2,Ori,72.653,8.90025,4.35,,
22531,,ιA,Pic,72.730792,-53.461722,5.58,,
22534,,ιB,Pic,72.73575,-53.459917,6.42,,
22549,,π4,Ori,72.801542,5.605111,3.68,,
22565,,i,Tau,72.843375,18.839944,5.08,,
22667,,ο1,Ori,73.133167,14.250778,4.71,,
22678,,2,Aur,73.158333,36.703194,4.79,,
22701,,ω,Eri,73.223667,-5.45275,4.36,,
22730,,5,Ori,73.344833,2.508278,5.33,,
22783,,α,Cam,73.512542,66.342667,4.26,,
22797,,π5,Ori,73.562917,2.440667,3.71,,
22833,,g,Ori,73.695458,11.425972,5.18,,
22845,,π1,Ori,73.72375,10.151139,4.64,,
22854,,5,Cam,73.763083,55.259139,5.52,,
22871,,η,Men,73.796417,-74.937,5.47,,
22957,,ο2,Ori,74.093,13.514583,4.06,,
22958,,b,Eri,74.100792,-5.171361,5.5,,
23015,,ι,Aur,74.248417,33.166139,2.69,,
23040,,7,Cam,74.32175,53.752083,4.43,,
23068,,99,Tau,74.452708,23.948583,5.79,,
23088,,k,Tau,74.539083,25.050528,5.79,,
23123,,π6,Ori,74.637083,1.714028,4.47,,
23148,,ξ,Men,74.712458,-82.470528,5.84,,
23179,,4,Aur,74.814083,37.890472,4.93,,
23216,,8,Cam,74.943083,53.155472,6.09,,
23221,,63,Eri,74.960167,-10.263,5.39,,
23231,,64,Eri,74.982125,-12.537194,4.78,,
23261,,5,Aur,75.076458,39.394694,5.95,,
23268,,6,Aur,75.096708,39.654667,6.46,,
23364,,ψ,Eri,75.35975,-7.173972,4.8,,
23416,,ε,Aur,75.492208,43.823306,3.03,ぎょしゃ座イプシロン星,1
23453,,ζ,Aur,75.6195,41.075889,3.69,,
23467,,β,Men,75.679167,-71.314333,5.3,,
23474,,1,Lep,75.68725,-22.795083,5.74,,
23482,,η1,Pic,75.703042,-49.151472,5.37,,
23497,,ι,Tau,75.77375,21.590056,4.62,,
23522,,β,Cam,75.854583,60.442278,4.03,,
23595,,γ1,Cae,76.101292,-35.482861,4.55,,
23596,,γ2,Cae,76.108917,-35.705194,6.32,,
23607,,11,Ori,76.14225,15.404194,4.65,,
23649,,η2,Pic,76.241458,-49.577833,5.05,,
23685,,ε,Lep,76.365208,-22.370861,3.19,,
23693,,ζ,Dor,76.377875,-57.473,4.71,,
23734,,11,Cam,76.53525,58.972389,5.22,,
23743,,12,Cam,76.550583,59.021417,6.08,,
23767,,η,Aur,76.628625,41.234639,3.18,,
23783,,9,Aur,76.669417,51.598139,4.98,,
23794,,66,Eri,76.690208,-4.655167,5.12,,
23835,,m,Tau,76.861167,18.645,4.91,,
23852,,13,Ori,76.909667,9.472722,6.15,,
23871,,l,Tau,76.951792,20.418444,5.28,,
23875,Cursa,β,Eri,76.962625,-5.08625,2.78,クルサ,
23879,,i,Ori,76.970292,8.498583,5.33,,
23883,,15,Tau,76.980958,21.704833,5.84,,
23900,,13,Tau,77.027583,24.265194,5.5,,
23941,,68,Eri,77.181958,-4.45625,5.11,,
23972,,λ,Eri,77.286583,-8.754083,4.25,,
23983,,h,Ori,77.331667,9.829611,5.43,,
24010,,15,Ori,77.424833,15.597278,4.81,,
24244,,ι,Lep,78.074542,-11.869139,4.45,,
24305,,μ,Lep,78.232792,-16.205417,3.29,,
24327,,κ,Lep,78.307875,-12.941278,4.36,,
24331,,ρ,Ori,78.322833,2.86125,4.46,,
24340,,μ,Aur,78.357208,38.484667,4.82,,
24348,,14,Cam,78.380375,62.691139,6.49,,
24372,,θ,Dor,78.439292,-67.185361,4.81,,
24436,Rigel,β,Ori,78.634458,-8.201639,0.18,リゲル,1
24504,,14,Aur,78.851708,32.687583,5.01,,
24512,,18,Tau,78.86525,22.284861,6.26,,
24555,,18,Ori,79.01725,11.341361,5.52,,
24608,Capella,α,Aur,79.172083,45.999028,0.08,カペラ,1
24659,,ο,Col,79.370917,-34.894389,4.81,,
24674,,τ,Ori,79.401667,-6.844389,3.59,,
24727,,16,Aur,79.543958,33.372,4.54,,
24740,,17,Aur,79.578708,33.767417,6.15,,
24813,,λ,Aur,79.783667,40.100667,4.69,,
24817,,21,Ori,79.796792,2.595944,5.34,,
24822,,n,Tau,79.819125,22.096694,4.96,,
24829,,ζ,Pic,79.842125,-50.606528,5.44,,
24832,,18,Aur,79.848833,33.985444,6.49,,
24836,,15,Cam,79.866042,58.117417,6.13,,
24845,,λ,Lep,79.893875,-13.176778,4.29,,
24873,,ν,Lep,79.995958,-12.315611,5.29,,
24879,,19,Aur,80.003833,33.958056,5.05,,
25044,,o,Ori,80.440625,-0.382472,4.72,,
25048,,ρ,Aur,80.451708,41.804667,5.22,,
25098,,κ,Pic,80.592292,-56.134444,6.1,,
25142,,23,Ori,80.708333,3.544444,4.99,,
25192,,22,Aur,80.84525,28.936833,6.45,,
25197,,16,Cam,80.865958,57.544528,5.24,,
25202,,8,Lep,80.875667,-13.927361,5.25,,
25216,,110,Tau,80.907167,16.699361,6.09,,
25247,,e,Ori,80.986833,-7.807944,4.13,,
25278,,111,Tau,81.105458,17.383556,5,,
25281,,η,Ori,81.11925,-2.397139,3.35,,
25282,,p,Ori,81.120458,-0.891667,5.07,,
25292,,σ,Aur,81.163083,37.385389,5.02,,
25302,,ψ1,Ori,81.186792,1.846444,4.89,,
25303,,θ,Pic,81.192875,-52.316167,6.26,,
25336,Bellatrix,γ,Ori,81.282792,6.349722,1.64,ベラトリックス,
25410,,113,Tau,81.523833,16.700167,6.23,,
25428,Elnath,β,Tau,81.572917,28.607861,1.65,エルナト,
25429,,λ,Dor,81.580333,-58.912611,5.14,,
25473,,ψ,Ori,81.709292,3.095667,4.59,,
25499,,115,Tau,81.792042,17.962278,5.4,,
25539,,o,Tau,81.908667,21.936972,4.88,,
25541,,φ,Aur,81.912042,34.476,5.08,,
25555,,116,Tau,81.940042,15.874111,5.52,,
25583,,117,Tau,82.006667,17.23925,5.77,,
25606,Nihal,β,Lep,82.061375,-20.759222,2.81,ニハル,
25695,,118,Tau,82.318708,25.150306,5.47,,
25737,,31,Ori,82.43325,-1.092167,4.71,,
25769,,17,Cam,82.542542,63.067222,5.43,,
25776,,31,Men,82.558042,-84.785222,6.18,,
25813,,32,Ori,82.696042,5.948222,4.2,,
25853,,10,Lep,82.78175,-20.863556,5.53,,
25859,,ε,Col,82.803083,-35.470444,3.86,,
25861,,n1,Ori,82.810542,3.292139,5.46,,
25918,,γ,Men,82.969417,-76.341667,5.18,,
25923,,υ,Ori,82.98275,-7.301528,4.62,,
25930,Mintaka,δ,Ori,83.001667,-0.299083,2.25,ミンタカ,
25945,,119,Tau,83.053125,18.59425,4.32,,
25973,,18,Cam,83.140333,57.221611,6.44,,
25984,,χ,Aur,83.181958,32.192028,4.71,,
25985,Arneb,α,Lep,83.182542,-17.822306,2.58,アルネブ,
26064,,120,Tau,83.381792,18.540222,5.67,,
26069,,β,Dor,83.406333,-62.489861,3.76,,
26093,,35,Ori,83.476208,14.305583,5.6,,
26126,,n2,Ori,83.569958,3.766944,5.32,,
26176,,φ1,Ori,83.705167,9.489583,4.39,,
26207,Meissa,λ,Ori,83.7845,9.934167,3.39,メイサ,
26220,,θ1A,Ori,83.815917,-5.387306,4.98,,
26221,,θ1C,Ori,83.818625,-5.389694,5.13,,
26224,,θ1D,Ori,83.821667,-5.387694,6.71,,
26235,,θ2,Ori,83.845417,-5.416056,4.98,,
26237,,c,Ori,83.8465,-4.838333,4.58,,
26241,,ι,Ori,83.85825,-5.909889,2.75,,
26248,,121,Tau,83.863,24.039639,5.37,,
26264,,ι,Men,83.900542,-78.820889,6.04,,
26268,,45,Ori,83.914542,-4.856083,5.24,,
26311,Alnilam,ε,Ori,84.053375,-1.201917,1.69,アルニラム,
26366,,φ2,Ori,84.226375,9.291417,4.09,,
26382,,122,Tau,84.265458,17.040417,5.53,,
26394,,π,Men,84.286625,-80.471667,5.65,,
26408,,19,Cam,84.312792,64.154861,6.15,,
26412,,ν1,Col,84.318708,-27.871194,6.15,,
26451,,ζ,Tau,84.411167,21.142583,2.97,,
26460,,ν2,Col,84.436,-28.689806,5.28,,
26536,,26,Aur,84.65875,30.492444,5.4,,
26549,,σ,Ori,84.686542,-2.600056,3.77,,
26563,,d,Ori,84.721208,-7.212722,4.77,,
26594,,ω,Ori,84.796458,4.121472,4.5,,
26634,Phact,α,Col,84.91225,-34.074056,2.65,ファクト,
26640,,125,Tau,84.934125,25.897139,5.18,,
26727,Alnitak,ζ,Ori,85.189667,-1.942583,1.74,アルニタク,
26777,,126,Tau,85.323833,16.534194,4.84,,
26865,,12,Lep,85.558167,-22.37375,5.88,,
26885,,b,Ori,85.619417,1.474667,4.9,,
26942,,24,Cam,85.756917,56.581444,6.05,,
27046,,23,Cam,86.03525,61.476528,6.17,,
27072,,γ,Lep,86.116542,-22.4475,3.59,,
27100,,δ,Dor,86.193417,-65.735528,4.34,,
27196,,ο,Aur,86.475208,49.826278,5.46,,
27204,,μ,Col,86.499542,-32.306389,5.18,,
27249,,26,Cam,86.626542,56.115722,5.93,,
27265,,129,Tau,86.689542,15.8225,6,,
27288,,ζ,Lep,86.738958,-14.821944,3.55,,
27316,,131,Tau,86.804792,14.488417,5.72,,
27321,,β,Pic,86.821167,-51.066722,3.85,,
27338,,130,Tau,86.859167,17.729139,5.47,,
27364,,133,Tau,86.92875,13.899639,5.28,,
27366,Saiph,κ,Ori,86.939125,-9.669611,2.07,サイフ,
27369,,λ,Men,86.950625,-72.702306,6.54,,
27386,,52,Ori,87.000958,6.454222,5.26,,
27468,,132,Tau,87.254,24.567556,4.88,,
27483,,τ,Aur,87.293583,39.181139,4.51,,
27511,,134,Tau,87.38725,12.651361,4.89,,
27530,,γ,Pic,87.456583,-56.1665,4.5,,
27534,,ε,Dor,87.473125,-66.901222,5.1,,
27566,,κ,Men,87.57,-79.361528,5.46,,
27581,,135,Tau,87.620417,14.305694,5.54,,
27592,,29,Cam,87.641208,56.918944,6.53,,
27628,Wazn,β,Col,87.739792,-35.769306,3.12,ワズン,
27639,,υ,Aur,87.760042,37.305694,4.72,,
27654,,δ,Lep,87.829792,-20.8775,3.76,,
27658,,55,Ori,87.841583,-7.518,5.36,,
27673,,ν,Aur,87.872458,39.148472,3.97,,
27731,,30,Cam,88.071917,58.964139,6.14,,
27743,,137,Tau,88.092917,14.171806,5.6,,
27750,,56,Ori,88.110167,1.855167,4.76,,
27810,,λ,Col,88.278667,-33.801444,4.88,,
27830,,136,Tau,88.331833,27.612278,4.56,,
27913,,χ1,Ori,88.596167,20.276417,4.39,,
27949,,ξ,Aur,88.711625,55.706917,4.96,,
27965,,57,Ori,88.736208,19.749611,5.92,,
27971,,31,Cam,88.740958,59.888417,5.2,,
27989,Betelgeuse,α,Ori,88.792875,7.407028,0.45,ベテルギウス,1
28010,,ξ,Col,88.874542,-37.120611,4.97,,
28098,,σ,Col,89.08725,-31.382444,5.52,,
28103,,η,Lep,89.101333,-14.168028,3.71,,
28199,,γ,Col,89.384208,-35.283306,4.36,,
28237,,139,Tau,89.498583,25.953917,4.81,,
28271,,59,Ori,89.601833,1.837139,5.89,,
28296,,60,Ori,89.706583,0.552972,5.21,,
28321,,1,Mon,89.754458,-9.38225,6.15,,
28325,,2,Mon,89.767958,-9.558139,5.04,,
28328,,η,Col,89.786625,-42.815111,3.96,,
28358,,δ,Aur,89.881458,54.284972,3.72,,
28360,Menkalin,β,Aur,89.882375,44.947444,1.9,メンカリナン,
28380,,θ,Aur,89.930167,37.212778,2.65,,
28404,,π,Aur,89.98375,45.93675,4.3,,
28499,,36,Aur,90.244,47.901972,5.71,,
28574,,3,Mon,90.460125,-10.597944,4.92,,
28614,,μ,Ori,90.595792,9.647361,4.12,,
28677,,38,Aur,90.824458,42.911889,6.08,,
28691,,64,Ori,90.864,19.690611,5.14,,
28716,,χ2,Ori,90.979917,20.138472,4.64,,
28734,,1,Gem,91.030083,23.263639,4.16,,
28756,,72,Col,91.0845,-32.172722,5.65,,
28812,,63,Ori,91.242458,5.419972,5.67,,
28814,,66,Ori,91.243167,4.158667,5.63,,
28816,,17,Lep,91.246375,-16.484417,4.92,,
28823,,39,Aur,91.26425,42.981972,5.9,,
28909,,η1,Dor,91.539,-66.039694,5.72,,
28910,,θ,Lep,91.538875,-14.935278,4.67,,
28946,,40,Aur,91.646208,38.482778,5.35,,
28957,,π1,Col,91.671125,-42.298806,6.15,,
29034,,θ,Col,91.881792,-37.252917,5,,
29038,,ν,Ori,91.893,14.768528,4.42,,
29048,,19,Lep,91.923458,-19.166,5.28,,
29064,,π2,Col,91.970292,-42.154,5.5,,
29134,,ν,Dor,92.18475,-68.843444,5.06,,
29225,,3,Gem,92.433292,23.113472,5.75,,
29246,,37,Cam,92.495792,58.935639,5.35,,
29271,,α,Men,92.559167,-74.752528,5.08,,
29276,,δ,Pic,92.574625,-54.968667,4.72,,
29353,,η2,Dor,92.812583,-65.589694,5.01,,
29379,,5,Gem,92.884625,24.420389,5.83,,
29388,,41,Aur,92.902417,48.711111,5.78,,
29426,,ξ,Ori,92.985,14.208806,4.45,,
29433,,68,Ori,93.005583,19.790583,5.76,,
29434,,f1,Ori,93.013667,16.130444,4.95,,
29450,,6,Gem,93.079583,22.908528,6.51,,
29490,,36,Cam,93.212708,65.7185,5.36,,
29650,,71,Ori,93.71225,19.156889,5.2,,
29651,,γ,Mon,93.713917,-6.274722,3.99,,
29655,Propus,η,Gem,93.719583,22.506833,3.31,プロプス,
29696,,κ,Aur,93.84475,29.498722,4.32,,
29704,,f2,Ori,93.854708,16.143194,5.34,,
29730,,40,Cam,93.918792,59.999028,5.37,,
29736,,73,Ori,93.937375,12.551083,5.44,,
29789,,8,Gem,94.079375,23.970056,6.09,,
29800,,k,Ori,94.110708,12.271722,5.04,,
29807,,κ,Col,94.138083,-35.140722,4.37,,
29840,,9,Gem,94.244625,23.740917,6.24,,
29850,,l,Ori,94.277583,9.942528,5.39,,
29884,,42,Aur,94.3945,46.423917,6.53,,
29885,,6,Mon,94.396375,-10.725,6.76,,
29919,,1,Lyn,94.478458,61.515306,5.01,,
29949,,43,Aur,94.57025,46.36075,6.33,,
30049,,12,Gem,94.843833,23.2745,6.95,,
30060,,2,Lyn,94.905792,59.010917,4.44,,
30073,,7,Mon,94.928333,-7.822917,5.27,,
30122,Furud,ζ,CMa,95.078292,-30.063389,3.02,フルド,
30247,,45,Aur,95.442125,53.452389,5.34,,
30272,,4,Lyn,95.514833,59.372111,6.05,,
30277,,δ,Col,95.528542,-33.436278,3.85,,
30321,,π1,Dor,95.659292,-69.984139,5.56,,
30324,Mirzam,β,CMa,95.674958,-17.955917,1.98,ムルジム,
30342,,ν,Pic,95.732792,-56.369917,5.6,,
30343,Tejat,μ,Gem,95.739958,22.513861,2.87,テジャト,
30419,,εA,Mon,95.942083,4.592833,4.39,,
30422,,εB,Mon,95.94375,4.595861,6.72,,
30438,Canopus,α,Car,95.987875,-52.695722,-0.62,カノープス,1
30520,,ψ1,Aur,96.224583,49.287889,4.92,,
30565,,π2,Dor,96.369375,-69.690778,5.37,,
30591,,G,Pup,96.431917,-48.176861,5.76,,
30679,,5,Lyn,96.703667,58.417417,5.21,,
30769,,16,Gem,96.986208,20.496278,6.22,,
30772,,10,Mon,96.989875,-4.762139,5.06,,
30788,,λ,CMa,97.042583,-32.580139,4.47,,
30827,,48,Aur,97.142042,30.493083,5.75,,
30867,,β,Mon,97.204458,-7.033056,3.76,,
30883,,ν,Gem,97.240792,20.212167,4.13,,
30972,,47,Aur,97.512417,46.685528,5.88,,
31039,,6,Lyn,97.696417,58.163444,5.86,,
31105,,19,Gem,97.906,15.903528,6.38,,
31125,,ξ1,CMa,97.964042,-23.418444,4.34,,
31137,,μ,Pic,97.992958,-58.753833,5.69,,
31159,,12,Mon,98.080125,4.856,5.88,,
31216,,13,Mon,98.225958,7.332972,4.47,,
31359,,7,Lyn,98.636667,55.353028,6.45,,
31385,,14,Mon,98.693042,7.5725,6.44,,
31416,,ξ2,CMa,98.764083,-22.964833,4.54,,
31434,,49,Aur,98.80025,28.022333,5.26,,
31564,,ν1,CMa,99.09525,-18.659944,5.71,,
31592,,ν2,CMa,99.170833,-19.255722,3.95,,
31665,,11,Lyn,99.41,56.8575,5.87,,
31676,,8,Lyn,99.4235,61.481889,5.94,,
31681,Alhe,γ,Gem,99.427917,16.399417,1.93,アルヘナ,
31685,,ν,Pup,99.440292,-43.195917,3.17,,
31700,,ν3,CMa,99.472625,-18.237444,4.42,,
31737,,53,Aur,99.595917,28.984389,5.76,,
31771,,51,Aur,99.664792,39.391111,5.7,,
31789,,ψ3,Aur,99.704958,39.902583,5.34,,
31832,,ψ2,Aur,99.832625,42.489,4.8,,
31852,,54,Aur,99.888,28.263167,6.02,,
31897,,ζ,Men,100.012125,-80.813722,5.61,,
31978,,15,Mon,100.244417,9.89575,4.66,,
32019,,25,Gem,100.337083,28.196639,6.45,,
32104,,26,Gem,100.601333,17.645528,5.2,,
32173,,ψ4,Aur,100.770875,44.524528,5.04,,
32246,Mebsuta,ε,Gem,100.983042,25.131167,3.06,メブスタ,
32249,,30,Gem,100.997042,13.228139,4.49,,
32292,,10,CMa,101.118625,-31.070528,5.23,,
32311,,28,Gem,101.189417,28.971,5.42,,
32349,Sirius,α,CMa,101.288542,-16.713139,-1.44,シリウス,1
32362,,ξ,Gem,101.322625,12.896056,3.35,,
32404,,32,Gem,101.475833,12.693556,6.47,,
32438,,12,Lyn,101.558958,59.441694,4.86,,
32463,,16,Mon,101.635083,8.587167,5.92,,
32480,,ψ5,Aur,101.68475,43.577028,5.24,,
32489,,13,Lyn,101.706208,57.169278,5.34,,
32492,,11,CMa,101.712875,-14.426,5.28,,
32504,,12,CMa,101.756208,-21.015417,6.07,,
32533,,17,Mon,101.832667,8.037278,4.77,,
32537,,x,Pup,101.839208,-37.929667,5.27,,
32562,,ψ6,Aur,101.914917,48.789472,5.22,,
32578,,18,Mon,101.96525,2.412194,4.48,,
32607,,α,Pic,102.048083,-61.941972,3.24,,
32753,,33,Gem,102.457708,16.202917,5.87,,
32759,,κ,CMa,102.460292,-32.5085,3.5,,
32768,,τ,Pup,102.483917,-50.614389,2.94,,
32814,,35,Gem,102.60625,13.413194,5.68,,
32844,,ψ7,Aur,102.6915,41.781556,4.99,,
32864,,42,Cam,102.737875,67.571917,5.14,,
32912,,ι,Vol,102.862417,-70.963472,5.41,,
32921,,d,Gem,102.887708,21.761222,5.28,,
33018,,θ,Gem,103.19725,33.961361,3.6,,
33041,,59,Aur,103.255875,38.869139,6.1,,
33048,,14,Lyn,103.271083,59.448667,5.34,,
33064,,60,Aur,103.305708,38.438444,6.32,,
33092,,15,CMa,103.387125,-20.22425,4.82,,
33104,,43,Cam,103.426,68.888306,5.11,,
33133,,ψ8,Aur,103.487792,38.505083,6.46,,
33152,,ο1,CMa,103.533125,-24.184222,3.89,,
33160,,θ,CMa,103.547833,-12.038583,4.08,,
33202,,e,Gem,103.660792,13.178028,4.73,,
33248,,17,CMa,103.761417,-20.404861,5.8,,
33277,,37,Gem,103.827875,25.375639,5.74,,
33302,,π,CMa,103.905833,-20.136583,4.66,,
33345,,μ,CMa,104.027708,-14.043444,5,,
33347,,ι,CMa,104.034292,-17.05425,4.36,,
33377,,ψ9,Aur,104.133583,46.274,5.85,,
33384,,θ,Men,104.143667,-79.420194,5.45,,
